nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.48636505,0.53468734,0.7118592,0.40153995,0.5986941,0.79272604,0.394883,0.475397,0.70462,0.46581712,0.6566614,0.6675186,0.4459453,0.38960713,0.6623801,0.8842065,0.82093287,0.6330437,0.86052656,0.20822805,0.7562974,0.99658304,0.9113529,0.056058522,0.5568698,0.09948712,0.007215442,0.44979978,0.5397017,0.049908314,0.41107807,0.39067358,0.0413076,1.0052165,0.8664252,0.106197335,1.0728592,0.25694886,0.036271326,0.9910286,0.9046604,0.08713665,0.52347517,0.4489883,0.017802589,0.61461574,0.5606867,0.05598065,0.45900562,0.5946312,0.08905896,1
0.48632988,0.5365992,0.72146386,0.4012159,0.6004356,0.80803835,0.39405215,0.4776735,0.68338263,0.4652104,0.6554233,0.6528939,0.44410357,0.38871285,0.6486419,0.88928795,0.82535475,0.51640177,0.8661061,0.20950188,0.70542645,0.8662393,0.82487655,0.016879616,0.55765367,0.098761335,0.006943516,0.78237146,0.66319436,0.01152074,0.400558,0.387076,0.040681925,1.0037189,0.88145167,0.10965039,1.094982,0.25718403,0.037672475,0.9913371,0.9049909,0.10263999,0.52982926,0.4487615,0.01816995,0.67753035,0.5735391,0.061300788,0.4368519,0.6004193,0.075169936,1
0.4945792,0.5598685,0.5068582,0.40889862,0.61830854,0.77340585,0.3981155,0.49408415,0.7513063,0.46459123,0.6666165,0.7683054,0.45511806,0.39559752,0.7700269,0.8707548,0.82221013,0.5962799,0.9026769,0.22193216,0.58842105,0.99204713,0.9190221,0.04834682,0.99755335,0.11527052,0.07315114,0.95738035,0.7098724,0.033322275,0.43119302,0.3962838,0.031243635,1.0047039,0.8793981,0.10343765,1.1298547,0.30147633,0.027334329,0.9814975,0.90929526,0.08049353,0.5723595,0.46484876,0.02523785,0.6670814,0.5698746,0.069976464,0.45220998,0.6145252,0.05797259,1
0.49471843,0.55816627,0.54203653,0.40844083,0.61674756,0.80441135,0.39918184,0.4928283,0.78473556,0.46352565,0.66504586,0.76962954,0.45504725,0.3955301,0.7724439,0.8779407,0.83099127,0.60075384,0.9054833,0.22342323,0.5561773,0.98946285,0.920449,0.049749367,0.99153465,0.12988712,0.06641794,0.7938524,0.7004193,0.008608188,0.43079862,0.3958329,0.03392287,1.0015587,0.8822881,0.11007499,1.1064378,0.29927912,0.022820918,0.9786957,0.9111052,0.10389806,0.54731756,0.46631458,0.027669517,0.67097753,0.58509475,0.060503848,0.45090997,0.6143223,0.06258826,1
0.49679184,0.5552573,0.5949408,0.4117771,0.6147261,0.73077744,0.40109217,0.4919647,0.80196804,0.46624982,0.66135716,0.7428509,0.45851186,0.39480448,0.72629005,0.8699327,0.82285774,0.58389497,0.9019306,0.22567366,0.60492694,0.99275875,0.91844445,0.051086597,0.99757725,0.11903238,0.068178065,0.78894234,0.68606085,0.008655594,0.4335445,0.39464927,0.029109221,1.0032121,0.86861444,0.09952364,1.1010095,0.28879237,0.028120482,0.98250073,0.9089878,0.09340846,0.55047727,0.4675328,0.030032463,0.6674204,0.5843205,0.061099235,0.454265,0.60608417,0.06930354,1
0.49514803,0.55302423,0.5463513,0.4102397,0.6128331,0.72793347,0.40136135,0.49040875,0.8163057,0.46522495,0.66160184,0.76141626,0.458933,0.39450258,0.73516595,0.8742397,0.8229784,0.5697116,0.90280896,0.22460811,0.5588806,0.99166054,0.9167301,0.05437662,0.99739766,0.11691584,0.083744004,0.9539904,0.70680976,0.035201382,0.4327431,0.39395267,0.030018624,1.0041288,0.867214,0.10782484,1.101423,0.28914428,0.030589899,0.9813468,0.90757644,0.09434506,0.55217403,0.46537334,0.030450584,0.6700221,0.58409244,0.062316097,0.4536403,0.60622984,0.0657343,1
0.49693212,0.550897,0.5852903,0.4116466,0.6116538,0.71270376,0.40258145,0.4883794,0.8117337,0.47007325,0.6594837,0.79475605,0.46456632,0.39279598,0.6531977,0.8721735,0.8215559,0.6187983,0.9047082,0.22381964,0.55945194,0.9926386,0.9180551,0.047346316,0.5781216,0.10341634,0.010571307,0.78782386,0.6866984,0.008996449,0.43232152,0.39405993,0.033661675,1.0072087,0.8653108,0.09035633,1.1030403,0.2891201,0.02607394,0.9838824,0.9079757,0.082178265,0.547595,0.46636382,0.024897948,0.6720424,0.5864581,0.059344713,0.45392895,0.6053015,0.07417022,1
0.5003237,0.5511782,0.6461622,0.41514567,0.61222714,0.6054384,0.40304914,0.49011803,0.8228795,0.46950042,0.65829116,0.7756696,0.4604565,0.39360473,0.6924044,0.8702044,0.82148236,0.63883024,0.90535504,0.2233805,0.5581376,0.9919426,0.9183557,0.044277307,0.5671409,0.10406548,0.009500787,0.78553313,0.67177796,0.00771853,0.4332838,0.39533478,0.028254889,1.0056367,0.86584723,0.09058475,1.0965292,0.27264386,0.034867775,0.98168105,0.9082249,0.07396246,0.55313283,0.46539116,0.0328964,0.666825,0.571566,0.06685655,0.45599374,0.6052288,0.06687496,1
0.49804553,0.5511717,0.61287594,0.41464067,0.6122454,0.6219685,0.40275213,0.48859662,0.8187261,0.47134516,0.6587934,0.78376627,0.463347,0.3933087,0.6789044,0.8709979,0.81931216,0.62086165,0.9051356,0.22273836,0.5822463,0.8581626,0.8251271,0.015698934,0.5773111,0.11927168,0.00950195,0.78367025,0.6729433,0.008492893,0.4338127,0.39501458,0.030388772,1.0055331,0.86477375,0.09339762,1.1014569,0.28824887,0.02828569,0.9756038,0.89866704,0.073156424,0.5501969,0.4664232,0.02535441,0.669746,0.5719452,0.06465409,0.45357117,0.60481584,0.064490005,1
0.49945855,0.55178875,0.6289323,0.41506907,0.6131645,0.65042114,0.40308857,0.48956802,0.8243136,0.47078478,0.65859926,0.77635825,0.45848593,0.3932145,0.7091747,0.87098503,0.82191944,0.6185564,0.90521455,0.22434361,0.5554585,0.8627841,0.8323375,0.01190011,0.578074,0.10298742,0.010157271,0.7829589,0.6753622,0.0074227466,0.43317166,0.3943399,0.030989002,1.0041176,0.87902325,0.10501256,1.1030586,0.28677577,0.027118016,0.98152685,0.90867144,0.09072751,0.5512187,0.46506482,0.025385365,0.67028236,0.5724739,0.05953847,0.45211044,0.60527325,0.068537444,1
0.49753782,0.5548432,0.59774894,0.41536844,0.6140711,0.6413309,0.40293244,0.49107805,0.82107145,0.47513244,0.65715367,0.740598,0.46166852,0.39370668,0.67063296,0.87114257,0.821317,0.6128367,0.90095574,0.22532508,0.58457637,0.99186724,0.9168548,0.053506687,0.5633649,0.10469742,0.009112212,0.7902507,0.6848132,0.008344522,0.43354508,0.39595,0.02686111,1.0040352,0.8668653,0.097305186,1.0975071,0.27503684,0.03516139,0.9804304,0.9077141,0.108944334,0.5510688,0.4645799,0.026833208,0.66824055,0.57145613,0.06636659,0.45484546,0.60542536,0.06770115,1
0.49748567,0.5558667,0.57866275,0.41458678,0.61461186,0.6446568,0.40112543,0.49190256,0.80078447,0.46818423,0.6574844,0.7523705,0.459895,0.3927732,0.69820815,0.87433165,0.81976926,0.57706404,0.90459245,0.22272438,0.5365148,0.9912486,0.9167248,0.055172633,0.9962385,0.11618507,0.073108554,0.78347653,0.6738947,0.009994237,0.4342283,0.39482483,0.029186025,1.0031166,0.86600393,0.10345569,1.100871,0.28713235,0.02937391,0.97938585,0.9070836,0.103335865,0.5490472,0.46535954,0.030052612,0.66889995,0.5708038,0.065755196,0.45462134,0.6053608,0.061010387,1
0.49304783,0.55606025,0.6853242,0.41461313,0.6156406,0.6771058,0.40071532,0.49490118,0.78578806,0.47203925,0.65696114,0.7477522,0.46032274,0.3933099,0.6962139,0.8741576,0.8227855,0.55604994,0.9053801,0.22037925,0.525512,0.9911792,0.9168477,0.051537395,0.59774405,0.11617362,0.006397562,0.79019564,0.6863872,0.009028893,0.43445802,0.39716122,0.028835151,1.0043926,0.8689608,0.09429362,1.1017205,0.2850428,0.029383998,0.9797819,0.90813655,0.11214304,0.5459757,0.46588776,0.02279658,0.6720464,0.5729431,0.06217591,0.45144463,0.60615814,0.07132622,1
0.49881795,0.56011134,0.5463497,0.41652885,0.61836326,0.6961112,0.40131366,0.4967825,0.7524518,0.47051716,0.6607791,0.7370103,0.45442557,0.39472595,0.73968923,0.8730905,0.81934077,0.5543381,0.9027293,0.21881011,0.56229264,0.9919196,0.9167094,0.04979208,0.9968191,0.11544324,0.064064376,0.7909431,0.68526113,0.0080327345,0.52465516,0.1958996,0.0044775764,1.0030833,0.866443,0.09691579,1.0970118,0.27108476,0.034653977,0.9810191,0.90748376,0.07964629,0.55343795,0.46281195,0.03070887,0.6666779,0.57266134,0.068557404,0.45381978,0.61355066,0.05152928,1
0.5015195,0.56106186,0.5948752,0.4157646,0.6205929,0.6998047,0.40052685,0.4971104,0.7456014,0.46809316,0.6625685,0.7366992,0.45293644,0.3956919,0.7716048,0.87555957,0.820858,0.5377195,0.90201825,0.22070114,0.5641572,0.99162203,0.9165383,0.054863136,0.9959281,0.114237964,0.07653817,0.7849904,0.67256474,0.010163655,0.43095398,0.39545503,0.027404867,1.0032712,0.8680127,0.100194246,1.1019813,0.28569227,0.028503435,0.9802926,0.9081121,0.10760454,0.5517094,0.46210423,0.027084809,0.66727376,0.5696255,0.06926812,0.47419456,0.61604637,0.047517918,1
0.49933532,0.5651208,0.6495037,0.41682997,0.6225813,0.7248266,0.4000955,0.49857777,0.6813025,0.4692262,0.6622958,0.7354869,0.45668828,0.39468718,0.74668455,0.87385386,0.8197118,0.55948937,0.90453655,0.21702552,0.54298466,0.992533,0.9263395,0.04956169,0.99675304,0.11472707,0.06445715,0.7948547,0.6992187,0.0077232462,0.4329934,0.39555943,0.0271217,1.0033997,0.8667842,0.09028933,1.1271133,0.29827663,0.02995496,0.9785976,0.9111961,0.10197151,0.54412323,0.47559413,0.026137404,0.66800386,0.5716916,0.065077685,0.4705609,0.61583024,0.043147992,1
0.4997249,0.56791395,0.63697785,0.41656354,0.62675375,0.6383955,0.40107098,0.5008265,0.7397741,0.47159758,0.66415083,0.7361345,0.45419466,0.39543712,0.7545874,0.87217766,0.82281864,0.5918426,0.90453535,0.21848507,0.54844254,0.992101,0.9273763,0.04590335,0.9973132,0.11660813,0.06354936,0.79352933,0.69976735,0.007629676,0.43573868,0.39686313,0.02097386,1.0027755,0.8670165,0.09438361,1.1257178,0.30026725,0.031030891,0.97738546,0.91021186,0.0843487,0.5539899,0.46493155,0.02986946,0.66122174,0.57061297,0.06519852,0.47594747,0.61596775,0.046335403,1
0.49706826,0.56825376,0.6037829,0.41753235,0.626999,0.64911306,0.3984512,0.50050855,0.7521713,0.4763594,0.66455984,0.69304585,0.4532787,0.3969886,0.791075,0.8746984,0.8211195,0.54909176,0.9040415,0.2198082,0.55707175,0.9924526,0.91775286,0.04743128,0.99757105,0.11451259,0.06659337,0.7889104,0.68626267,0.008660263,0.4344981,0.39616412,0.024825942,1.0039085,0.865172,0.10184509,1.1220988,0.28736323,0.035342455,0.5915281,0.98908734,0.010986891,0.5466389,0.47453082,0.031906087,0.66430575,0.5710579,0.06382537,0.47522333,0.61641675,0.044424597,1
0.49777663,0.56990135,0.606099,0.4173493,0.6284732,0.6974967,0.39969802,0.50236464,0.7758114,0.47337666,0.6663835,0.717197,0.45156884,0.39732903,0.7863896,0.8730843,0.8227442,0.57074857,0.9029905,0.21856846,0.5541601,0.9928899,0.9171045,0.044977132,0.9983465,0.114669695,0.053786214,0.79386634,0.69863784,0.008313718,0.43198732,0.39736474,0.023989027,1.0064766,0.87813467,0.089530855,1.1253027,0.2989673,0.03183486,0.9831615,0.90790313,0.08178639,0.9616186,0.19653757,0.119349234,0.6645305,0.57271606,0.07196716,0.47501805,0.6189167,0.0451995,1
0.49752197,0.5698979,0.56561565,0.41687146,0.62801754,0.6533037,0.39877787,0.50251687,0.7571966,0.47217068,0.6674218,0.69921637,0.4536384,0.39793676,0.7430672,0.8722647,0.8213455,0.5507279,0.90210485,0.2203074,0.55568296,0.99183613,0.918094,0.047642298,0.9963312,0.11250097,0.06963894,0.8032319,0.68900377,0.011417919,0.43372026,0.39777294,0.02370533,1.0022733,0.8667016,0.087968804,1.1287912,0.29995725,0.026797572,0.9804484,0.9083092,0.08908176,0.5508426,0.47404906,0.035237517,0.69064087,0.58414817,0.06881692,0.45330212,0.61690986,0.05326121,1
0.4984498,0.57029027,0.5864422,0.4163201,0.6286436,0.6690912,0.3986995,0.50036156,0.7399442,0.46983397,0.6666821,0.7227118,0.44929036,0.39765525,0.775798,0.8753825,0.82313,0.5531497,0.90412736,0.21650238,0.5220464,0.9893174,0.91568583,0.057603635,0.9951951,0.11276747,0.062805034,0.7928969,0.69975954,0.009308275,0.43203756,0.3969947,0.027449042,1.0020916,0.8653962,0.0946973,1.1268544,0.2989018,0.031620335,0.9763069,0.9072119,0.1163929,0.96192485,0.19337158,0.11133097,0.6645623,0.57194024,0.073652245,0.45334175,0.6165003,0.052057635,1
